,Dates,Median days to close,Mean Sales to List Ratio,Mean Days to Close,Median sale to list Ratio,Percentage sold above list price,Percentage sold Under List Price
0,2018-01-27,31.0,0.9850108315471342,36.0,0.9891212165908684,0.2299465240641711,0.6078457583220793
1,2018-02-03,31.0,0.9859612912790676,36.0,0.9891073608158728,0.2727272727272727,0.6029130422994062
2,2018-02-10,30.0,0.985376030701617,35.0,0.9889089994323292,0.2842105263157894,0.6108427116054146
3,2018-02-17,30.0,0.987687735410152,34.0,0.9918159761765152,0.3438735177865613,0.5830230590638208
4,2018-02-24,30.0,0.9883683319555026,33.0,0.9923486981724108,0.3060344827586206,0.5725987090730407
5,2018-03-03,29.0,0.9885035108514116,32.0,0.9943306846505126,0.3301587301587301,0.5495500405698268
6,2018-03-10,29.0,0.9902735105985738,32.0,0.9953582978591656,0.3387755102040816,0.5272353252099986
7,2018-03-17,29.0,0.9879175983247136,32.0,0.9939668321819856,0.3114186851211072,0.5394075970482851
8,2018-03-24,29.0,0.987336437688734,31.0,0.99437174839927,0.301418439716312,0.5308404045806892
9,2018-03-31,29.0,0.9878593212478196,31.0,0.9952509981061868,0.3408360128617363,0.5268568390215609
10,2018-04-07,29.0,0.9883475569886432,31.0,0.9967422878242206,0.3753753753753753,0.5205995613357118
11,2018-04-14,29.0,0.9893461913713756,31.0,0.9981337535014004,0.3261538461538461,0.5046905914129011
12,2018-04-21,29.0,0.9901719882663238,32.0,0.9982738095238096,0.3440514469453376,0.4993600402282074
13,2018-04-28,29.0,0.9904278984229172,31.0,0.9982738095238096,0.3322884012539185,0.4946880850628495
14,2018-05-05,29.0,0.988948422650701,32.0,0.997548933683903,0.2892307692307692,0.5000819404567048
15,2018-05-12,29.0,0.9902934936332036,32.0,0.9968342395729825,0.3031358885017421,0.5099747305933975
16,2018-05-19,30.0,0.990631489071394,32.0,0.9966793011655408,0.3195266272189349,0.5196067631663155
17,2018-05-26,30.0,0.9906470533208596,33.0,0.9966793011655408,0.3571428571428571,0.524708108597496
18,2018-06-02,30.0,0.9912284174216804,33.0,0.9966048957137524,0.3493150684931507,0.5257881928967584
19,2018-06-09,30.0,0.9902782474688978,33.0,0.997319589824673,0.3074324324324324,0.5184369828016459
20,2018-06-16,30.0,0.9881731561806992,34.0,0.9969980430559688,0.2750809061488673,0.519351365904229
21,2018-06-23,30.0,0.9895859460903214,33.0,0.9969980430559688,0.3665689149560117,0.5116966783757688
22,2018-06-30,30.0,0.9892716055643712,33.0,0.9959762993274862,0.2689295039164491,0.520186788894743
23,2018-07-07,30.0,0.9894860549495528,33.0,0.9940966000793658,0.2857142857142857,0.538817370025324
24,2018-07-14,30.0,0.9910996677613204,33.0,0.9943816653613584,0.2635135135135135,0.5441200027551413
25,2018-07-21,30.0,0.988098935980054,33.0,0.9916108894490708,0.2743055555555556,0.5733844211324629
26,2018-07-28,28.0,0.9888356762053316,29.0,0.9920971699066478,0.3144016227180527,0.5684405330703505
27,2018-08-04,,0.9875769061651728,,0.9916576924624938,0.2742616033755274,0.5766397881050486
28,2018-08-11,,0.9876132088277858,,0.9915941630161272,0.2986111111111111,0.5663521567236671
29,2018-08-18,,0.9881679155832636,,0.9921525495478838,0.2599653379549393,0.568265790461391
30,2018-08-25,,0.9870818624150705,,0.9914988722951232,0.2453222453222453,0.5820386521044353
31,2018-09-01,,0.9863887886889804,27.0,0.9915495304688788,0.2489451476793249,0.5848515916262356
32,2018-09-08,29.0,0.9855178575233028,30.0,0.9903914000056218,0.2700729927007299,0.6022412155110692
33,2018-09-15,31.0,0.9827652724362484,33.0,0.9885342529623116,0.1861313868613138,0.6242022776370924
34,2018-09-22,32.0,0.9815868715921564,34.0,0.9877261570581962,0.2274509803921568,0.6367985843510461
35,2018-09-29,31.0,0.9814997088429396,35.0,0.9870919337259364,0.1885714285714285,0.6467021407102986
36,2018-10-06,30.0,0.9798365401153528,34.0,0.9864533065360108,0.2447257383966244,0.6567771353205423
37,2018-10-13,30.0,0.980105915879457,35.0,0.9865685371602037,0.2094861660079051,0.6550532958467823
38,2018-10-20,30.0,0.9803909925158892,35.0,0.9859002741447204,0.2272727272727272,0.656511730460297
39,2018-10-27,29.0,0.9790655414509962,35.0,0.9851174900609868,0.1478260869565217,0.6730024136901107
40,2018-11-03,30.0,0.9796806515116928,35.0,0.9854730770773964,0.199203187250996,0.6739017698519612
41,2018-11-10,29.0,0.9803949315627234,35.0,0.9864748641978452,0.1877729257641921,0.6674896325303876
42,2018-11-17,30.0,0.9801066492381224,35.0,0.986730249952368,0.1788990825688073,0.6716976846950704
43,2018-11-24,30.0,0.980372477289912,35.0,0.9870770343967736,0.2434210526315789,0.6453103849239034
44,2018-12-01,30.0,0.979117745149065,35.0,0.9864254449289902,0.178988326848249,0.6551155223508494
45,2018-12-08,30.0,0.9780217067665308,34.0,0.9859057413859678,0.2028985507246377,0.6614178660843683
46,2018-12-15,30.0,0.9755327438660116,33.0,0.9840078451904988,0.1502347417840375,0.6817801006538646
47,2018-12-22,29.0,0.9749282204700828,32.0,0.9832231761016794,0.1636363636363636,0.7106377561562571
48,2018-12-29,28.0,0.97545247338188,32.0,0.9816563748605914,0.1748251748251748,0.7088146765121658
49,2019-01-05,28.0,0.9754179000396858,31.0,0.9805898790390938,0.1510791366906475,0.7189978343337347
50,2019-01-12,28.0,0.9770959578124572,31.0,0.9819064489350532,0.1927710843373494,0.7013851299952539
51,2019-01-19,29.0,0.9774965723372784,32.0,0.9812374783282852,0.1857142857142857,0.6963526624627865
52,2019-01-26,30.0,0.9780136283963592,33.0,0.9830040225317191,0.1512605042016806,0.6951920583610058
53,2019-02-02,30.0,0.9791274118412764,34.0,0.9830337225393668,0.1461988304093567,0.6969590658076801
54,2019-02-09,30.0,0.979851476530209,33.0,0.982880171835316,0.2073170731707317,0.6944612697453821
55,2019-02-16,30.0,0.9793518127997816,33.0,0.9836695541285972,0.1630434782608695,0.6983820771987983
56,2019-02-23,29.0,0.9806444263773766,32.0,0.9840020454484746,0.2159090909090909,0.6887253736082711
57,2019-03-02,29.0,0.9796848596807636,32.0,0.984822970755358,0.1755102040816326,0.684411016286395
58,2019-03-09,29.0,0.9799709119021588,31.0,0.986191298568584,0.2462311557788944,0.6737632653365236
59,2019-03-16,29.0,0.9814611246142771,31.0,0.987519812335138,0.2033898305084746,0.6477177605465458
