,Year,Period,labor force,employment,unemployment,unemployment rate,MONTH_DATES
103,2020,Aug,1531664,1369654,162010,10.6,2020-08
104,2020,Sep,1527001,1381184,145817,9.5,2020-09
105,2020,Oct,1528042,1399391,128651,8.4,2020-10
106,2020,Nov,1520166,1397710,122456,8.1,2020-11
107,2020,Dec,1513506,1386970,126536,8.4,2020-12
108,2021,Jan,1510101,1381430,128671,8.5,2021-01
109,2021,Feb,1525589,1404562,121027,7.9,2021-02
110,2021,Mar,1527225,1411156,116069,7.6,2021-03
111,2021,Apr,1521308,1410345,110963,7.3,2021-04
112,2021,May,1527047,1425762,101285,6.6,2021-05
113,2021,Jun,1538870,1426239,112631,7.3,2021-06
114,2021,Jul,1554670,1447276,107394,6.9,2021-07
115,2021,Aug,1550582,1450380,100202,6.5,2021-08
116,2021,Sep,1553455,1469400,84055,5.4,2021-09
117,2021,Oct,1570003,1489224,80779,5.1,2021-10
118,2021,Nov,1575096,1504079,71017,4.5,2021-11
119,2021,Dec,1570184,1505925,64259,4.1,2021-12
120,2022,Jan,1572006,1498635,73371,4.7,2022-01
121,2022,Feb,1589258,1524946,64312,4.0,2022-02
